Name,Mass (M☉),Absolute Magnitude,Apparent Magnitude,Distance (LY),RA (h:m:s),DEC (d:m:s),Surface Temperature (K),Spectral Type
Sirius A,2.02,1.42,-1.46,8.58,06:45:08.917,-16:42:58.01,9940,A1V
Canopus,8.5,-5.53,-0.72,310,06:23:57.109,-52:41:44.38,7200,F0Ib-II
Rigil Kentaurus,1.10,4.38,-0.27,4.37,14:39:36.494,-60:50:02.31,5790,G2V
Arcturus,1.08,-0.30,-0.05,36.7,14:15:39.672,+19:10:56.67,4290,K0III
Vega,2.15,0.58,0.03,25.05,18:36:56.336,+38:47:01.28,7600,A0V
Capella,5.04,-0.48,0.08,42.9,05:16:41.359,+45:59:52.77,4970,G5IIIe+G0III
Rigel,21.0,-8.10,0.13,863,05:14:32.272,-08:12:05.91,12100,B8Iab
Procyon,1.4,2.65,0.34,11.40,07:39:18.119,+05:13:29.99,6530,F5IV-V
Achernar,7.5,-2.77,0.46,114,01:37:42.845,-57:14:12.31,7700,B6Vep
Betelgeuse,19.0,-5.85,0.50,642.5,05:55:10.305,+07:24:25.43,3500,M1-2Ia
Hadar,14.0,-5.41,0.61,390,14:03:49.409,-60:22:22.95,22000,B1V
Altair,1.79,2.21,0.77,16.73,19:50:46.998,+08:52:05.96,7550,A7V
Acrux,16.0,-4.82,0.77,321,12:26:35.534,-63:05:56.73,28000,B0.5IV
Aldebaran,1.7,-0.63,0.85,65.3,04:35:55.239,+16:30:33.49,3910,K5III
Spica,10.25,-3.55,0.98,250,13:25:11.579,-11:09:40.75,22400,B1V
Antares,12.4,-5.28,1.06,550,16:29:24.459,-26:25:55.21,3400,M0.5Iab-Ib
Pollux,1.86,1.09,1.14,33.78,07:45:18.949,+28:01:34.32,4666,K0IIIb
Fomalhaut,1.92,1.74,1.16,25.13,22:57:39.045,-29:37:20.08,8590,A3V
Deneb,19.0,-8.38,1.25,2615,20:41:25.916,+45:16:49.22,8525,A2Iae
Beta Crucis,14.0,-3.92,1.25,280,12:47:43.120,-59:41:19.58,27000,B0.5IV
Regulus,3.8,-0.52,1.35,79.3,10:08:22.311,+11:58:01.98,10300,B7V
Adhara,4.5,-1.95,1.50,403,06:58:37.548,-28:58:19.51,22000,B2II
Castor,3.85,0.59,1.58,51.5,07:34:35.872,+31:53:17.82,10200,A1V+A2V
Gacrux,3.0,-0.56,1.59,88,12:31:09.215,-57:06:47.48,5800,M3.5III
Shaula,10.0,-4.54,1.62,360,17:33:36.520,-37:06:13.84,25000,B1.5V
Bellatrix,8.6,-2.72,1.64,244,05:25:07.863,+06:20:58.93,21500,B2III
Elnath,4.5,-1.65,1.65,131,05:26:17.420,+28:36:26.84,13400,B7III
Miaplacidus,3.6,-0.86,1.65,100,09:13:11.779,-69:43:02.76,12000,B1.5III
Alnilam,40.0,-6.40,1.69,1300,05:36:12.830,-01:12:06.91,25000,B0Iab
Alnitak,20.0,-5.25,1.74,800,05:40:45.520,-01:56:34.26,28000,O9.5Iab
Alioth,2.9,0.20,1.75,82.6,12:54:01.748,+55:57:35.36,9000,A1p
Dubhe,5.95,-0.80,1.79,123,11:03:38.270,+61:45:03.72,4500,K0III+F0V
Merak,2.7,0.40,2.34,79.4,11:01:50.479,+56:22:56.85,9200,A1V
Phecda,2.9,0.08,2.43,83.2,11:53:49.845,+53:41:41.12,9300,A0Ve
Mizar A,2.2,-0.20,2.23,78.2,13:23:55.543,+54:55:31.38,9000,A2V
Alcor,1.8,1.00,4.01,82.8,13:25:00.000,+54:59:00.00,8000,A5V
Polaris,5.4,-3.64,1.97,433,02:31:48.704,+89:15:50.79,5700,F7Ib-IIv
Kaus Australis,15.0,-3.41,1.85,145,18:24:10.286,-34:23:04.60,22000,B9V
Avior,3.0,-2.26,1.86,630,08:22:30.815,-59:30:33.40,15000,K3III
Menkalinan,2.3,-0.60,1.90,82,02:58:01.582,+03:50:18.46,9000,A2IV
Alkaid,6.0,-1.45,1.85,101,13:47:32.363,+49:18:47.76,15000,B3V
Sargas,7.0,-1.50,1.87,270,17:37:19.137,-42:59:52.34,7500,F1II
Atria,5.0,-2.80,1.92,390,16:58:05.854,-69:02:22.40,4500,K2IIb
Peacock,6.0,-2.00,1.94,180,20:25:38.865,-56:44:06.41,18000,B2IV
Alshain,1.2,2.20,4.22,45,19:55:33.472,+06:24:22.78,5000,K0IV
